id,name_ar,name_en,category,type,country,region,city,latitude,longitude,geometry_type,geometry_geojson,source_url,source_type,confidence_score,is_verified,is_approximate,notes
AJM-TRAN-0001,محطة المصلى,Al Mussalla Station,airports_transport,bus_station,United Arab Emirates,Ajman,Ajman,25.4113763,55.4461433,point,,https://www.openstreetmap.org/way/1259716013,openstreetmap,0.85,false,true,osm:way/1259716013 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0001,,A2,airports_transport,bus_station,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4964795,54.3666181,point,,https://www.openstreetmap.org/node/12378217501,openstreetmap,0.85,false,true,osm:node/12378217501 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0002,مطار جزيرة أبو الأبيض,Abu Al Abyadh Island Airport,airports_transport,airport,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.1825564,53.867488,point,,https://www.openstreetmap.org/way/200493228,openstreetmap,0.85,false,true,osm:way/200493228 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0003,,Abu Dhabi Airport City Terminal,airports_transport,bus_station,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4933261,54.3834964,point,,https://www.openstreetmap.org/way/269480000,openstreetmap,0.85,false,true,osm:way/269480000 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0004,محطة الباصات الرئيسية أبو ظبي,Abu Dhabi Main Bus Terminal,airports_transport,bus_station,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4706371,54.376645,point,,https://www.openstreetmap.org/way/67145713,openstreetmap,0.85,false,true,osm:way/67145713 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0005,,Abu Dhabi sports aviation club,airports_transport,airport,United Arab Emirates,Abu Dhabi,Gantout,24.7259145,54.8317962,point,,https://www.openstreetmap.org/way/1528944161,openstreetmap,0.85,false,true,osm:way/1528944161 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0006,,Air Basy Airfield,airports_transport,airport,United Arab Emirates,Abu Dhabi,Gantout,24.6454738,55.1111638,point,,https://www.openstreetmap.org/way/160523254,openstreetmap,0.85,false,true,osm:way/160523254 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0007,,Al Ain Bus Station,airports_transport,bus_station,United Arab Emirates,Abu Dhabi,Al Ain,24.2191904,55.771575,point,,https://www.openstreetmap.org/way/662603219,openstreetmap,0.85,false,true,osm:way/662603219 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only
AUH-TRAN-0008,مطار العين الدولي,Al Ain International Airport,airports_transport,airport,United Arab Emirates,Abu Dhabi,Al Ain,24.2703622,55.6091877,point,,https://www.openstreetmap.org/node/7968830838,openstreetmap,0.9,false,true,osm:node/7968830838 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only | wikidata:Q1391995
AUH-TRAN-0009,مطار العين الدولي,Al Ain International Airport,airports_transport,airport,United Arab Emirates,Abu Dhabi,Al Ain,24.2607881,55.6137741,point,,https://www.openstreetmap.org/way/941129027,openstreetmap,0.9,false,true,osm:way/941129027 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only | wikidata:Q1391995
AUH-TRAN-0010,مطار البطين,Al Bateen Airport,airports_transport,airport,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4285145,54.4578166,point,,https://www.openstreetmap.org/way/159458774,openstreetmap,0.9,false,true,osm:way/159458774 | mapped as point in OSM; a footprint polygon is wanted for containment | no geometry cached — centroid only | wikidata:Q11824251
